"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"UniRef90_A0A174PF63"	"condition"	"PD"	-1.17606127920953	0.213759456937016	136	38	1.86105114260276e-07	0.00904306427534012
"UniRef90_A0A1Q6I3H0"	"condition"	"PD"	1.05736408472433	0.215639480737322	136	48	2.69614556047785e-06	0.00904306427534012
"UniRef90_A0A1Q6I3J7"	"condition"	"PD"	1.16179530617033	0.220283455328889	136	49	5.24677111480087e-07	0.00904306427534012
"UniRef90_A0A1Q6IBJ9"	"condition"	"PD"	1.39480799771954	0.278917116316914	136	55	1.76823253943742e-06	0.00904306427534012
"UniRef90_A0A1Q6NT39"	"condition"	"PD"	1.55827920912194	0.317955987420719	136	43	2.72505637016149e-06	0.00904306427534012
"UniRef90_A0A2N8HSH6"	"condition"	"PD"	1.42115569041897	0.289976354738461	136	48	2.72713472653358e-06	0.00904306427534012
"UniRef90_A0A2N8I3I4"	"condition"	"PD"	1.31398766367214	0.262352786277565	136	42	1.71031096388339e-06	0.00904306427534012
"UniRef90_A0A2N8I451"	"condition"	"PD"	1.37542592330315	0.27660929789628	136	44	2.00100168927678e-06	0.00904306427534012
"UniRef90_A0A2N8I4T3"	"condition"	"PD"	1.28760858157167	0.260955590711727	136	43	2.36224559496902e-06	0.00904306427534012
"UniRef90_A0A2N8I572"	"condition"	"PD"	1.36391313065449	0.258947730558504	136	41	5.42861801503938e-07	0.00904306427534012
"UniRef90_A0A2N8I660"	"condition"	"PD"	1.2254561560855	0.236614712960914	136	30	8.05180914592796e-07	0.00904306427534012
"UniRef90_A0A2N8IA52"	"condition"	"PD"	1.33559801896135	0.266496604880973	136	42	1.68643855306483e-06	0.00904306427534012
"UniRef90_A0A2N8II89"	"condition"	"PD"	1.25849356122205	0.244167002274689	136	28	8.99469341106966e-07	0.00904306427534012
"UniRef90_A0A2N8IMX3"	"condition"	"PD"	1.07947239618196	0.204592456273127	136	28	5.21106443174096e-07	0.00904306427534012
"UniRef90_A0A2N8INV5"	"condition"	"PD"	1.16694881746148	0.237693495395173	136	43	2.62880042552813e-06	0.00904306427534012
"UniRef90_A0A2N8IQN8"	"condition"	"PD"	1.26066629646643	0.25717645540494	136	42	2.71536454686365e-06	0.00904306427534012
"UniRef90_A0A2N8IS27"	"condition"	"PD"	1.22020153520136	0.249712480679982	136	43	2.90321058361054e-06	0.00904306427534012
"UniRef90_A0A2N8IVP7"	"condition"	"PD"	1.14510414161834	0.227750472520097	136	27	1.57085405995635e-06	0.00904306427534012
"UniRef90_A0A2N8IVW7"	"condition"	"PD"	1.3297057788391	0.270795156367768	136	46	2.61869087767035e-06	0.00904306427534012
"UniRef90_A0A2N8IWI2"	"condition"	"PD"	1.24398339927264	0.251187941054281	136	42	2.18314363369619e-06	0.00904306427534012
"UniRef90_A0A2N8IWI7"	"condition"	"PD"	1.005544032673	0.197057340082287	136	26	1.12953298265754e-06	0.00904306427534012
"UniRef90_A0A2N8IWM5"	"condition"	"PD"	1.10253758104216	0.225662902036677	136	41	2.91121345559607e-06	0.00904306427534012
"UniRef90_A0A2N8IWZ8"	"condition"	"PD"	1.23203787006571	0.244232718350367	136	43	1.46055958176479e-06	0.00904306427534012
"UniRef90_A0A2N8J2J0"	"condition"	"PD"	1.22984165043032	0.245564169066253	136	44	1.71195410925464e-06	0.00904306427534012
"UniRef90_A0A2N8J2P4"	"condition"	"PD"	1.22534989417162	0.247181759218593	136	38	2.13703062588464e-06	0.00904306427534012
"UniRef90_A0A367FWE7"	"condition"	"PD"	-1.3670408152816	0.250219984281478	136	104	2.20005469873856e-07	0.00904306427534012
"UniRef90_A0A3F3K6X2"	"condition"	"PD"	1.22674880703508	0.244328182233547	136	39	1.61960358851609e-06	0.00904306427534012
"UniRef90_B2UPV3"	"condition"	"PD"	1.2409031305308	0.253234241663344	136	43	2.73574872458193e-06	0.00904306427534012
"UniRef90_I8YW66"	"condition"	"PD"	1.10389060298368	0.218385299559396	136	52	1.39551330009474e-06	0.00904306427534012
"UniRef90_I8YW75"	"condition"	"PD"	1.05750815763016	0.20835772958901	136	44	1.26530420710059e-06	0.00904306427534012
"UniRef90_UPI0005A6CD97"	"condition"	"PD"	1.20849216992046	0.24657218465587	136	37	2.72400505826645e-06	0.00904306427534012
"UniRef90_UPI000B38ED67"	"condition"	"PD"	1.15407067243482	0.218541047726638	136	28	5.10352842162092e-07	0.00904306427534012
"UniRef90_UPI000B8EA046"	"condition"	"PD"	1.51460929644216	0.305068487598007	136	44	2.06863723780944e-06	0.00904306427534012
"UniRef90_UPI000C9A5ACC"	"condition"	"PD"	1.04757592915262	0.212328353414009	136	36	2.366217911313e-06	0.00904306427534012
"UniRef90_UPI000C9A9DF3"	"condition"	"PD"	1.20559718104584	0.241472662733573	136	37	1.83173816094701e-06	0.00904306427534012
"UniRef90_UPI000C9CC0E8"	"condition"	"PD"	0.960825802208846	0.196044076634291	136	30	2.72545785654235e-06	0.00904306427534012
"UniRef90_UPI000C9CC8FE"	"condition"	"PD"	1.367889343587	0.279176085322132	136	43	2.74155433409903e-06	0.00904306427534012
